retailer_id,channel_quality_score
R001,288.70166774257103
R002,282.44349503607503
R003,297.72552410901477
R004,299.08669708752006
R005,243.83777925561031
R006,277.88186889564344
R007,269.76429473150966
R008,295.09665781830466
R009,231.70627323996266
R010,301.5185185185186
R011,272.3565635171262
R012,305.39989996088053
R013,301.86059595165284
R014,259.09668676122936
R015,291.6884220103774
R016,283.2996103896104
R017,268.4782187098954
R018,271.0108231292517
R019,251.12307503082144
R020,286.2253574603175
R021,301.4412887631621
R022,290.9298095238095
R023,311.29448023088025
R024,276.3488764606552
R025,272.874988741233
R026,265.06189642857146
R027,292.71521022799425
R028,241.25043522785464
R029,243.90271746031752
R030,298.01570952380956
R031,282.3430988223247
R032,298.7931652236652
R033,257.34258534798533
R034,281.0720736961452
R035,266.03383357753364
R036,246.6158382677709
R037,267.5110773169483
R038,276.0836814574315
R039,303.07134935452905
R040,316.70706179760845
R041,281.9661059907835
R042,288.9392859943978
R043,288.6171184739903
R044,274.7311322526174
R045,286.0133138011696
R046,321.1553818004219
R047,270.94086604002433
R048,318.2762180334723
R049,289.4497744495648
R050,295.78570441870437
R051,292.1185906757832
R052,261.09470552880333
R053,316.0928244733045
R054,261.82155598845605
R055,261.4912073260073
R056,309.7937855699856
R057,320.71145656430804
R058,286.3828025676938
R059,294.394747958083
R060,329.5796649810367
R061,307.41159834920643
R062,319.1639263492064
R063,284.3862887619048
R064,273.5525607227288
R065,250.36856470588233
R066,277.918275994109
R067,283.8681687147978
R068,327.702907862335
R069,289.96254424242426
R070,277.338181929182
R071,314.2107487179488
R072,283.6671091567548
R073,254.94135657596377
R074,254.84217638888896
R075,268.63410453345944
R076,265.8526866479926
R077,276.7483986873342
R078,300.07905854700863
R079,294.18272539682545
R080,274.12640165484635
R081,282.17731082251083
R082,287.9135436210849
R083,276.15342831541227
R084,310.1320311746032
R085,283.10973496778246
R086,297.9418190913063
R087,283.937276952381
R088,301.60836
R089,261.73814781746034
R090,284.75098510638304
R091,271.0119603174603
R092,300.93168911011986
R093,295.2062953638221
R094,278.1129367521368
R095,298.83892647619047
R096,308.5347469200525
R097,249.12031947821686
R098,300.17636082949315
R099,316.12319873307126
R100,293.10313084886127
