retailer_id,risk_prediction_score
R001,0.5714285714285714
R002,0.5714285714285714
R003,0.7142857142857143
R004,1.0
R005,0.42857142857142855
R006,0.7142857142857143
R007,0.7142857142857143
R008,0.42857142857142855
R009,0.8571428571428571
R010,0.42857142857142855
R011,1.0
R012,0.5714285714285714
R013,0.2857142857142857
R014,0.2857142857142857
R015,0.5714285714285714
R016,0.2857142857142857
R017,0.42857142857142855
R018,0.42857142857142855
R019,0.7142857142857143
R020,0.7142857142857143
R021,0.7142857142857143
R022,0.5714285714285714
R023,1.0
R024,0.42857142857142855
R025,0.7142857142857143
R026,0.42857142857142855
R027,0.0
R028,0.14285714285714285
R029,0.8571428571428571
R030,0.7142857142857143
R031,0.0
R032,0.0
R033,0.5714285714285714
R034,0.5714285714285714
R035,0.7142857142857143
R036,0.5714285714285714
R037,0.14285714285714285
R038,0.5714285714285714
R039,0.14285714285714285
R040,0.2857142857142857
R041,0.14285714285714285
R042,0.7142857142857143
R043,0.2857142857142857
R044,0.42857142857142855
R045,0.5714285714285714
R046,0.42857142857142855
R047,0.7142857142857143
R048,1.0
R049,0.5714285714285714
R050,0.42857142857142855
R051,0.42857142857142855
R052,0.5714285714285714
R053,0.5714285714285714
R054,0.5714285714285714
R055,0.5714285714285714
R056,0.2857142857142857
R057,0.14285714285714285
R058,0.8571428571428571
R059,0.7142857142857143
R060,0.7142857142857143
R061,0.2857142857142857
R062,0.42857142857142855
R063,0.2857142857142857
R064,0.2857142857142857
R065,0.8571428571428571
R066,0.7142857142857143
R067,0.5714285714285714
R068,0.7142857142857143
R069,0.5714285714285714
R070,0.42857142857142855
R071,0.7142857142857143
R072,0.14285714285714285
R073,0.7142857142857143
R074,0.42857142857142855
R075,0.42857142857142855
R076,0.8571428571428571
R077,0.14285714285714285
R078,0.14285714285714285
R079,0.7142857142857143
R080,0.2857142857142857
R081,0.8571428571428571
R082,0.8571428571428571
R083,0.2857142857142857
R084,0.42857142857142855
R085,0.8571428571428571
R086,0.0
R087,0.8571428571428571
R088,0.8571428571428571
R089,0.8571428571428571
R090,0.5714285714285714
R091,0.2857142857142857
R092,0.7142857142857143
R093,0.42857142857142855
R094,0.0
R095,0.14285714285714285
R096,0.5714285714285714
R097,0.8571428571428571
R098,0.14285714285714285
R099,0.5714285714285714
R100,0.42857142857142855
