retailer_id,cqi_score
R001,0.5070909285633546
R002,0.4211753682138182
R003,0.6084563407139412
R004,0.6703173474409121
R005,0.2590870912222028
R006,0.264116058033719
R007,0.4359193952561761
R008,0.4521197109052972
R009,0.5446694806955039
R010,0.6550086709600946
R011,0.3540077019622475
R012,0.7182775291983114
R013,0.5177464994965852
R014,0.484522728734701
R015,0.4303311811246016
R016,0.4763721244949167
R017,0.3981439718451627
R018,0.4574104620670625
R019,0.2164899126927495
R020,0.379183744551923
R021,0.4559446812843686
R022,0.4503851344598383
R023,0.5865136306756609
R024,0.4500605509024962
R025,0.5519253589526498
R026,0.3294921050988543
R027,0.4879826436594351
R028,0.3528728641908463
R029,0.3502351826290693
R030,0.5652519096638258
R031,0.5221043785729038
R032,0.678581249655931
R033,0.3271450751649006
R034,0.4427552448980868
R035,0.4387182247881284
R036,0.3367086514340638
R037,0.3919783168879336
R038,0.4844544738385123
R039,0.5834559795071516
R040,0.6691047631046718
R041,0.5184860919327496
R042,0.5971895999771645
R043,0.3868590359548626
R044,0.5312558212288758
R045,0.4807079184604796
R046,0.5695708685107255
R047,0.4410557859130048
R048,0.4931269177128239
R049,0.3540369008610976
R050,0.6398039910691239
R051,0.4819717709964883
R052,0.2866020519954594
R053,0.7042650633735192
R054,0.2787131322366631
R055,0.2809203992953424
R056,0.5813090997886781
R057,0.4523463976509378
R058,0.4195322136925044
R059,0.6143412190388796
R060,0.7815913509495556
R061,0.5923716471325076
R062,0.5517811022963424
R063,0.5540350319656221
R064,0.4365017401125113
R065,0.2742741428661799
R066,0.4544308185248283
R067,0.6518216308376578
R068,0.7014517248921952
R069,0.5181414748391
R070,0.4036963230216974
R071,0.5073000513634309
R072,0.5738680740138048
R073,0.3964588766767428
R074,0.2362252899808539
R075,0.5077522235256151
R076,0.3240397742399053
R077,0.5167514588229021
R078,0.496687388518153
R079,0.6581622061658596
R080,0.3666578624961431
R081,0.5114077281716866
R082,0.5131340074520422
R083,0.2589752500295733
R084,0.7601208013784243
R085,0.6026056690359054
R086,0.5658542710571004
R087,0.6170193591942118
R088,0.605944041863502
R089,0.2925749077493488
R090,0.3468317102070715
R091,0.3843901605399209
R092,0.4557982257073942
R093,0.5697696247054067
R094,0.2152889879994442
R095,0.5604784382528624
R096,0.7019168483713527
R097,0.3918888612031748
R098,0.4162813417660609
R099,0.4686137977661695
R100,0.5946800614127216
